0,0,25623,51234,-1,-1,-1,-1,-1,-1
1,5.18441,5260,10508,-1,-1,-1,-1,-1,-1
2,1.38903,7958,44653,-1,-1,-1,-1,-1,-1
3,5.53598,7958,44653,-1,-1,-1,-1,-1,-1
4,0.979992,14693,53452,-1,-1,-1,-1,-1,-1
5,5.56829,26740,136073,-1,-1,-1,-1,-1,-1
6,0.139839,26740,136073,1.79434e-07,0.300837,3.14159,2.45669,3.23442e+06,218.886
8,3.46098,7405,42276,2.62633e-06,0.48626,3.14156,2.13468,41059.9,15.3386
7,0.153669,17979,96325,2.62633e-06,0.577551,3.14156,2.02721,41059.9,10.7508
8,1.42211,9339,52750,2.62633e-06,0.531477,3.14156,2.06961,41059.9,12.1928
9,0.758641,9339,50154,0.000460182,0.561141,3.14045,2.01296,433.853,8.18857
10,0.969329,9339,50154,0.00544565,0.582787,3.1308,2.02633,130.335,6.99576
7,0.0910427,13350,68047,0.00544565,0.619756,3.1308,1.99033,130.335,6.31151
8,1.4107,9476,50789,0.00544565,0.598052,3.1308,2.01064,109.821,6.70567
9,0.565956,9476,50532,0.0130148,0.605848,3.11351,1.99483,89.9927,6.39504
10,0.818304,9476,50532,0.0183417,0.621923,3.11323,1.98354,89.9927,6.12729
7,0.070414,11911,60420,0.0183417,0.640781,3.11323,1.96417,89.9927,5.8221
8,1.11668,9428,50132,0.0171064,0.623653,3.11323,1.98279,89.9927,6.09396
9,0.492894,9428,50068,0.0183417,0.627092,3.10958,1.97563,89.9927,5.9932
10,0.729839,9428,50068,0.0174226,0.636032,3.10958,1.96741,88.7159,5.89452
7,0.0627888,11388,57720,0.0174226,0.650478,3.10958,1.95136,88.7159,5.66947
8,0.937949,9452,50110,0.0174226,0.636485,3.10958,1.96731,88.7159,5.87096
9,0.507336,9452,50087,0.0197397,0.638266,3.10958,1.96299,84.0797,5.82419
10,0.694495,9452,50087,0.0197397,0.644283,3.10958,1.95726,81.2527,5.76396
7,0.0570364,11010,55881,0.0197397,0.655335,3.10958,1.94446,81.2527,5.59738
8,0.861388,9438,49997,0.0197397,0.644467,3.10958,1.95761,81.2527,5.75927
9,0.462102,9438,49997,0.0197397,0.645035,3.10944,1.95597,75.453,5.73038
10,0.637862,9438,49997,0.0197397,0.648874,3.10944,1.95189,75.453,5.69462
7,0.0540533,10811,54901,0.0197397,0.657861,3.10944,1.94067,75.453,5.55671
8,0.944396,9405,49847,0.0197397,0.647963,3.10944,1.95291,75.453,5.69882
9,0.4716,9405,49838,0.0197397,0.648552,3.08528,1.95139,75.453,5.68118
10,0.619657,9405,49838,0.0162085,0.651147,3.08528,1.94868,75.453,5.659
11,0.0403076,-1,-1,-1,-1,-1,-1,-1,-1
7,0.144534,16482,84829,0.0162085,0.654901,3.08528,1.93375,75.453,5.38104
8,1.24569,11283,60342,0.0162085,0.665911,3.08528,1.93275,75.453,5.2632
9,0.673974,11283,60451,0.0226642,0.671307,3.08528,1.91739,75.453,5.13978
10,0.836004,11283,60451,0.0226642,0.689104,3.08528,1.90189,73.4882,4.99863
7,0.086325,13987,71979,0.0226642,0.696517,3.08528,1.89215,73.4882,4.87666
8,1.01022,11333,60739,0.0226642,0.689369,3.08528,1.9003,73.4882,4.98389
9,0.648362,11333,60794,0.0226642,0.690908,3.08528,1.89531,73.4882,4.9386
10,0.764461,11333,60794,0.0120647,0.698817,3.09778,1.88709,72.3877,4.87723
7,0.0755329,13466,69478,0.0120647,0.703381,3.09778,1.88209,72.3877,4.79585
8,0.951898,11369,60948,0.0120647,0.698355,3.09778,1.88721,72.3877,4.87337
9,0.614868,11369,60962,0.031467,0.699548,3.08484,1.88378,72.3877,4.84783
10,0.740156,11369,60962,0.0314481,0.704259,3.08267,1.87923,72.3491,4.81281
11,0.0377851,-1,-1,-1,-1,-1,-1,-1,-1
7,0.162569,19374,101201,0.0290412,0.682124,3.08547,1.90216,72.3491,4.88276
8,1.40703,13394,72911,0.0314481,0.707154,3.05547,1.87498,72.3491,4.58919
9,0.893971,13394,73032,0.0363453,0.71235,3.05463,1.86091,35.5521,4.4898
10,0.931612,13394,73032,0.0369735,0.731285,3.0506,1.84233,32.5943,4.35196
7,0.0924689,15983,84128,0.0369735,0.729768,3.0506,1.84516,32.5943,4.35623
8,1.08732,13321,72639,0.0369735,0.731015,3.0506,1.84211,32.5943,4.34952
9,0.782583,13321,72710,0.0369735,0.732399,3.04538,1.83717,32.5943,4.31732
10,0.866801,13321,72710,0.045105,0.740358,3.04538,1.82794,32.5943,4.26094
11,0.0461499,-1,-1,-1,-1,-1,-1,-1,-1
7,0.328846,29615,156839,0.041756,0.706452,3.03692,1.87483,32.5943,4.49646
8,2.13384,18574,102517,0.0560637,0.737114,3.02188,1.83726,32.5462,4.17831
9,1.40147,18574,102803,0.0560637,0.741305,3.02079,1.8254,32.5462,4.11148
10,1.26733,18574,102803,0.0560637,0.772721,3.02079,1.79341,32.5462,3.93812
7,0.16529,23751,126458,0.0560637,0.763606,3.02079,1.80477,32.5462,4.02084
8,1.64105,18373,101710,0.0560637,0.771132,3.02079,1.7929,32.5462,3.94036
9,1.21811,18373,101791,0.0659509,0.772371,3.01819,1.78867,17.9661,3.92268
10,1.2436,18373,101791,0.0659509,0.785998,3.01819,1.77334,17.2293,3.85523
7,0.149512,22092,118174,0.0659509,0.777862,3.01819,1.7846,17.2293,3.92379
8,1.37717,18288,101316,0.0659509,0.784407,3.01819,1.77465,17.2293,3.86352
9,1.36445,18288,101369,0.0659509,0.784508,3.01819,1.77314,17.1482,3.8582
10,1.15047,18288,101369,0.0659509,0.792159,3.01819,1.76427,17.1482,3.82231
11,0.0541894,-1,-1,-1,-1,-1,-1,-1,-1
7,0.263197,30053,160651,0.0655507,0.75605,3.00764,1.81275,20.2018,4.10563
8,2.50734,21338,118193,0.0671028,0.781351,3.00421,1.77974,16.9243,3.87624
9,1.48238,21338,118393,0.0671028,0.782533,3.00421,1.77544,16.9243,3.85645
10,1.30808,21338,118393,0.0671028,0.801086,3.00421,1.75618,16.9243,3.76204
7,0.189097,26484,142124,0.0671028,0.787523,3.00421,1.77313,16.9243,3.87121
8,2.23937,21282,118237,0.0671028,0.79907,3.00421,1.75735,16.9243,3.76977
9,1.36916,21282,118318,0.0671028,0.799336,3.00421,1.75559,16.9243,3.76401
10,1.24979,21282,118318,0.0671028,0.808368,3.00421,1.74542,16.9243,3.72254
11,0.0440141,-1,-1,-1,-1,-1,-1,-1,-1
7,0.149308,24176,131584,0.0671028,0.796953,2.99934,1.75952,18.6105,3.81112
8,3.07149,21500,119561,0.119206,0.806414,2.87166,1.74797,12.6182,3.73187
9,1.49206,21500,119641,0.119206,0.806475,2.85164,1.74729,12.6182,3.7282
10,1.17892,21500,119641,0.129213,0.811928,2.84137,1.7412,11.2976,3.70025
7,0.123758,23097,126028,0.129213,0.807404,2.84137,1.7467,12.617,3.73658
8,2.61563,21382,119000,0.129213,0.811539,2.84137,1.74176,11.2976,3.70359
9,1.51618,21382,119016,0.165385,0.811603,2.79783,1.74147,10.6315,3.70228
10,1.18668,21382,119016,0.169477,0.813734,2.79783,1.73868,9.54822,3.69133
8,2.77987,21268,118409,0.169477,0.813713,2.79783,1.73864,9.54822,3.69115
12,0.831956,9996,38689,0.184266,0.795478,2.79783,1.75507,9.54822,3.7448
13,-1,0,-1,-1,-1,-1,-1,-1,-1
